date,group,subj,sex,age-yrs,agesex,type,cause,location
2012-07-24,TWS,Bonn,F,12.6,adf,limp,,limb
2012-07-24,TWS,KL,M,26,adm,wound,,headneck
2012-07-30,TWS,Fris,M,3.4,juvm,wound,,headneck
2012-07-31,GN,Dada,M,6.6,juvm,wound,,tail
2012-08-03,TWS,Crin,M,9.2,adm,wound,,handfoot
2012-08-04,GSAA,Olly,M,9.2,adm,wound,,headneck
2012-08-05,GSAA,Olly,M,9.2,adm,wound,,limb
2012-08-05,TWS,KL,M,26.1,adm,limp,,handfoot
2012-08-06,GSAA,Agne,F,14.9,adf,wound,within-group aggression,handfoot
2012-08-07,TWS,Ulys,M,9.2,adm,wound,,headneck
2012-08-08,GSAA,OO7,F,14.9,adf,internal_pain,within-group aggression,trunk
2012-08-10,GSAA,Olly,M,9.2,adm,limp,,handfoot
2012-08-10,TWS,Mwiz,M,16.3,adm,limp,,handfoot
2012-08-11,GN,Skit,M,6.8,juvm,limp,,limb
2012-08-12,GSAA,Sawa,M,13.3,adm,wound,,trunk
2012-08-14,GSAA,Cybi,F,10.2,adf,wound,,tail
2012-08-16,TWS,Blas,M,0.5,inf,limp,,handfoot
2012-08-31,GSAA,Angel,F,8.4,adf,wound,infanticide,multiple
2012-09-18,TWS,Bill,F,14.7,adf,wound,,limb
2012-09-19,GSAA,Olly,M,9.3,adm,wound,,headneck
2012-09-23,GSAA,Olly,M,9.3,adm,wound,,headneck
2012-09-23,TWS,KL,M,26.2,adm,limp,,limb
2012-09-29,TWS,Ulys,M,9.4,adm,wound,,headneck
2012-10-05,TWS,Trog,M,9.2,adm,scar,,limb
2012-10-10,TWS,Fris,M,3.6,juvm,wound,,headneck
2012-10-13,GSAA,Bond,F,6.6,adf,wound,,trunk
2012-10-14,TWS,Bost,F,6.8,adf,wound,,tail
2012-10-14,TWS,Twin,F,14.6,adf,wound,,tail
2012-10-15,GN,Diet,M,10.2,adm,wound,,limb
2012-11-11,GN,Tann,F,5.9,juvf,wound,within-group aggression,tail
2012-11-14,TWS,Tatu,M,3.7,juvm,wound,,tail
2012-11-19,GSAA,Cybi,F,10.5,adf,limp,,limb
2012-11-20,GN,Pili,F,7.8,juvf,limp,,handfoot
2012-11-24,GN,Dion,F,6.9,juvf,wound,,tail
2012-11-26,TWN,Petr,F,2.7,juvf,limp,,limb
2012-12-10,TWS,Bliz,M,6.7,juvm,limp,,handfoot
2012-12-12,TWN,Ambe,F,17.7,adf,wound,,tail
2012-12-12,TWN,Petr,F,2.7,juvf,limp,,handfoot
2012-12-15,TWN,Petr,F,2.7,juvf,wound,,limb
2012-12-20,GSB,Fezi,M,10.8,adm,wound,,limb
2012-12-22,GSAA,Jig,F,18.9,adf,wound,,limb
2012-12-24,GSAA,Olly,M,9.6,adm,wound,,tail
2012-12-26,GN,Razo,F,7.4,juvf,limp,,limb
2012-12-30,GSAA,Bond,F,6.8,adf,limp,,limb
2013-01-05,TWS,Bost,F,7,adf,wound,,headneck
2013-01-10,GN,Razo,F,7.5,juvf,scar,,tail
2013-01-19,GN,Spik,F,22.9,adf,limp,,limb
2013-01-22,TWS,Fris,M,3.9,juvm,limp,,limb
2013-01-23,GSAA,Bond,F,6.9,adf,limp,,limb
2013-01-26,TWS,Flik,M,7.1,juvm,limp,,limb
2013-02-02,GSAA,OO7,F,15.4,adf,limp,,handfoot
2013-02-04,TWS,Sauc ,F,17.8,adf,limp,,limb
2013-02-04,TWS,Trog,M,9.6,adm,wound,,trunk
2013-02-06,TWS,Quan,F,20.1,adf,scar,,tail
2013-02-14,TWN,Kmac,M,6.8,juvm,limp,,limb
2013-02-14,TWS,Flik,M,7.1,juvm,limp,,limb
2013-02-22,TWS,Fris,M,4,juvm,wound,,headneck
2013-03-01,TWS,Dame,F,1.1,juvf,limp,,limb
2013-03-07,GSAA,Olly,M,9.8,adm,wound,,handfoot
2013-03-20,GN,Ding,F,23.1,adf,wound,,tail
2013-03-20,TWN,Khan,M,10.3,adm,wound,,trunk
2013-03-26,GN,Dion,F,7.2,juvf,wound,inter-group aggression,headneck
2013-03-29,GN,Ding,F,23.1,adf,wound,,tail
2013-04-04,GSAA,Cind,M,1.6,juvm,limp,,limb
2013-04-12,GN,Ding,F,23.2,adf,wound,,tail
2013-04-13,GN,Pinc,F,23.2,adf,wound,,tail
2013-04-21,GSAA,Olly,M,9.9,adm,wound,,multiple
2013-04-24,GSAA,Herc,M,adult,adm,wound,,headneck
2013-04-29,TWN,Amos,M,3.2,juvm,wound,,headneck
2013-05-02,GSAA,Herc,M,adult,adm,wound,,headneck
2013-05-07,TWS,Bill,F,15.3,adf,limp,,limb
2013-05-09,GSAA,Herc,M,adult,adm,wound,,headneck
2013-05-16,GSAA,Saul,M,9.2,adm,wound,,multiple
2013-05-20,GSAA,Herc,M,adult,adm,wound,,trunk
2013-05-21,GSB,Fezi,M,11.2,adm,wound,,headneck
2013-05-22,GSAA,Saul,M,9.2,adm,wound,,trunk
2013-05-23,GSAA,Saul,M,9.2,adm,hairless,,headneck
2013-06-02,GSAA,Olly,M,10,adm,wound,,multiple
2013-06-03,TWN,Petr,F,3.2,juvf,limp,,limb
2013-06-06,GSAA,Saul,M,9.2,adm,wound,,handfoot
2013-06-06,TWN,Amos,M,3.3,juvm,limp,,handfoot
2013-06-08,GSAA,Lala,F,8.5,adf,scar,,headneck
2013-06-13,GSAA,Mush,F,10.3,adf,limp,fall from tree,limb
2013-06-16,TWN,KL,M,26.9,adm,limp,,limb
